Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Precio,Descripción,Tags,Título para SEO,Descripción para SEO,Marca
Milanesa Napolitana de Novillos Alimentados a Pasto (1 porción - 2 porciones),Listo para consumir  > Milanesas y Supremas,Cantidad,1 porción,8000,"<h3><span style=""font-size: 15px;"">Milanesa Napolitana de Novillo Alimentado a Pasto (1 porci&oacute;n - 2 porciones)&nbsp;</span></h3>
<p>Nuestras tradicionales milanesas se reinventan para sorprenderte con una<strong> nueva propuesta</strong>, manteniendo el sabor aut&eacute;ntico y el valor nutricional que nos caracteriza.</p>
<p>Con un irresistible relleno de<strong> jam&oacute;n cocido</strong>, <strong>queso muzzarella</strong> y <strong>salsa de tomate</strong>, esta versi&oacute;n combina lo mejor de lo cl&aacute;sico con un toque distintivo, ideal para quienes buscan variedad sin resignar calidad.</p>
<h4><em style=""font-weight: 400;""><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></h4>",,,,
,,Cantidad,2 porciones,15000,,,,,
"Milanesas Tradicional de Novillo Alimentados a Pasto (0,5 Kg - 1 Kg)",Granja > Milanesas y Supremas,Gramos,"0,5 Kg",8000,"<p><strong>MILANESAS TRADICIONALES DE NOVILLOS ALIMENTADOS A PASTO (NALGA, CUADRADA, BOLA DE LOMO, CUADRIL)</strong></p>
<p>Disfruta de nuestras exquisitas milanesas, elaboradas con cortes de novillo de alta calidad y una sola pasada por un delicioso blend de panes.</p>
<p>Fraccionadas en bolsas de aproximadamente 0,5 kg, estas milanesas crudas, ultracongeladas y envasadas al vac&iacute;o, son perfectas para una comida familiar.</p>
<p><strong>BENEFICIOS DE CONSUMIR CARNE DE NOVILLOS ALIMENTADOS A PASTO</strong>: Menos grasas saturadas, mayor calidad nutricional y un sabor aut&eacute;ntico. Nuestros novillos crecen en libertad, disfrutando de un entorno natural.</p>
<p><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimentacion sana, alimento del dia, del campo a tu mesa, milanesas, milanesas de carne, milanesas tradicionales",Milanesas Tradicionales de Carne,"Disfruta el sabor único de nuestras milanesas, ultracongeladas y listas para compartir en familia.",Familia Garcia Vidal
,,Gramos,1 Kg,15000,,,,,
Mix de Vegetales Salteados (1 porción - 2 porciones),Listo para consumir  > Guarniciones,Cantidad,1 porción,6000,"<h3 class="""" data-start=""91"" data-end=""131"">Mix de Vegetales Salteados (1 porci&oacute;n - 2 porciones)&nbsp;</h3>
<p class="""" data-start=""133"" data-end=""368"">La porci&oacute;n pesa 400 grs. Colores, sabor y practicidad: este mix de morr&oacute;n rojo, verde y amarillo, zanahoria y cebolla viene cocido, envasado al vac&iacute;o y listo para regenerar. Ideal para acompa&ntilde;ar nuestras carnes desmechadas o sumarlo a tus platos del d&iacute;a a d&iacute;a.</p>
<p class="""" data-start=""370"" data-end=""477"">Regeneralo en microondas, olla o sart&eacute;n en minutos y disfrut&aacute; una guarnici&oacute;n rica, saludable y sin vueltas.</p>
<p class="""" data-start=""479"" data-end=""525"">&iexcl;Una opci&oacute;n liviana, natural y llena de sabor!</p>
<p class="""" data-start=""479"" data-end=""525""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimentacion sana, alimento del dia, comida organica, del campo a tu mesa, vegetales salteados, veggie","Mix de Vegetales Salteados x400g | Listos para regenerar, cocidos y en","Morrón rojo, verde y amarillo, zanahoria y cebolla. Cocidos, envasados al vacío y listos para calentar. Guarnición práctica, colorida y natural.",Familia Garcia Vidal
,,Cantidad,2 porciones,11000,,,,,
Nuggets Rebozados Caseros de Pollos Libres de Antibióticos (1 porción - 2 porciones),Listo para consumir  > Rebozados Cocidos,Cantidad,1 porción,7000,"<h3>Nuggets Rebozados 100% Pollos Libres de Antibi&oacute;ticos (1 porci&oacute;n - 2 porciones)&nbsp;</h3>
<p>Cada porci&oacute;n pesa 400 grs. Todos nuestros pollos agroecol&oacute;gicos son criados sin antibi&oacute;ticos, con probioticos y pr&aacute;cticas de bienestar animal que se reflejan en el sabor, color y textura de su carne.</p>
<p>A diferencia de los rebozados industriales, <strong data-start=""561"" data-end=""658"">no contienen antioxidantes, colorantes, conservantes, estabilizantes ni resaltadores de sabor</strong>.</p>
<p>Solo ingredientes reales, sin aditivos ni qu&iacute;micos que alteren su pureza.</p>
<p>Vienen cocidos, ultracongelados y listos para regenerar como m&aacute;s te guste.<br data-start=""619"" data-end=""622"" />En FGV cuidamos cada paso, desde el campo hasta tu cocina, para que disfrutes un producto aut&eacute;ntico, saludable y lleno de sabor.</p>
<p><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>",nuggets rebozados,,,Familia Garcia Vidal
,,Cantidad,2 porciones,13000,,,,,
Nuggets Rebozados Caseros de Pollos Libres de Antibióticos (1 porción - 2 porciones),Granja > Rebozados Crudos,Cantidad,1 porción,7000,"<h3>Nuggets Crudos 100% Pollos Libres de Antibi&oacute;ticos (1 porci&oacute;n - 2 porciones)</h3>
<p>La porci&oacute;n pesa 400 grs. Nuggets Crudos de Pollo Libre de Antibi&oacute;ticos Ultracongelados. Todos nuestros pollos agroecol&oacute;gicos son criados sin antibi&oacute;ticos, con probioticos y pr&aacute;cticas de bienestar animal que se reflejan en el sabor, color y textura de su carne.</p>
<p>Vienen crudos, ultracongelados y listos para cocinar como m&aacute;s te guste.</p>
<p>A diferencia de los rebozados industriales,&nbsp;<strong data-start=""561"" data-end=""658"">no contienen antioxidantes, colorantes, conservantes, estabilizantes ni resaltadores de sabor</strong>.</p>
<p>Solo ingredientes reales, sin aditivos ni qu&iacute;micos que alteren su pureza.</p>
<p>En FGV cuidamos cada paso, desde el campo hasta tu cocina, para que disfrutes un producto aut&eacute;ntico, saludable y lleno de sabor.</p>
<p><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>",nuggets rebozados,Nuggets Rebozados de Pollo Libre de Antibióticos 400-800gr,"Disfrutá nuggets de pollo crudos, ultracongelados y sin antibióticos. Saludables, agroecológicos y listos para cocinar. ¡Comprá ahora y probá su sabor único!",Familia Garcia Vidal
,,Cantidad,2 porciones,13000,,,,,
Pan de campo de Harina Orgánica con Masa Madre (1 pan - 2 panes),Listo para consumir  > Panificaciones,Cantidad,1 pan,7000,"<h3>PAN DE CAMPO de MASA MADRE con HARINA ORG&Aacute;NICA</h3>
<p>Hogazas de masa madre y harina 100% org&aacute;nica Ultracongeladas y cortado en rodajas de 1,2 cm Hogaza de 800 grs.</p>
<p>Listo para regenerar directo al horno o a la tostadora&nbsp;</p>
<p>&iquest;Por qu&eacute; elegir masa madre y harina org&aacute;nica?</p>
<ul>
<li>Mejor digesti&oacute;n y absorci&oacute;n de nutrientes&nbsp;</li>
<li>M&aacute;s livianas, no generan inflamaci&oacute;n</li>
<li>Libre de conservantes artificiales</li>
<li>Producci&oacute;n de trigo sin agroqu&iacute;micos</li>
</ul>
<p><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimento del dia, alimentos, Harina Organica, Masa Madre, Pan Natural, Pan Organico, salud",Hogaza de Masa Madre con Harina Orgánica | 800g | FGV,"Pan artesanal de masa madre, hecho con harina orgánica. 800g. Corteza crocante, miga aireada y sabor casero. Sin conservantes. Calidad FGV.",Familia Garcia Vidal
,,Cantidad,2 panes,13000,,,,,
Pancitas de Pollo Libres de Antibióticos (300 grs),"Granja > Pollos\, Huevos de Campo y Menudos , Mascotas",,,2000,"<h3>Menudos de Pancitas de Pollo Libres de Antibi&oacute;ticos (300 grs)</h3>
<h4>Beneficios de la Dieta BARF con Pancita de Pollo</h4>
<p>La dieta BARF, conocida por su enfoque en alimentos crudos y naturales, encuentra en la pancita de pollo un ingrediente clave para la salud de las mascotas, ofreciendo una serie de beneficios nutricionales significativos.</p>
<h4>Nutrici&oacute;n de la Pancita de Pollo</h4>
<p>La Pancita de pollo es una parte rica en prote&iacute;nas de alta calidad, proporcionando los amino&aacute;cidos esenciales que los perros y gatos necesitan para mantener su salud y vitalidad. Adem&aacute;s, contiene calcio y f&oacute;sforo en proporciones adecuadas para fortalecer los huesos y los dientes de las mascotas.</p>
<p><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>",,,,
Pata Muslo de Pollo Libre de Antibióticos (2 pata muslo - 4 pata muslo),"Granja > Pollos\, Huevos de Campo y Menudos ",Cantidad,2 Pata muslo,7000,"<h3>PATA MUSLO DE POLLO LIBRE DE ANTIBI&Oacute;TICOS (2 pata muslo - 4 pata muslo)</h3>
<p>La porcion es 2 unidades de pata muslo y pesa 900 grs aprox. Disfrut&aacute; de 2 patas de muslo de pollo agroecol&oacute;gico. Crudas, ultracongeladas y envasadas al vac&iacute;o para conservar su frescura y sabor natural.</p>
<p><strong>Beneficios:</strong> Nuestros pollos crecen en libertad y sin antibi&oacute;ticos, garantizando una carne con textura, color y sabor aut&eacute;nticos que reflejan su crianza en un entorno natural y cuidado. Ideal para una alimentaci&oacute;n saludable y deliciosa.</p>
<p>&nbsp;</p>
<p><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimentacion sana, alimento del dia, alimentos, carne, del campo a tu mesa, organico, pollo crudo, pollo de campo, salud",Pata Muslo Agroecológico ,"Descubrí las patas de muslo de pollo agroecológico, libres de antibióticos. Disfrutá de su frescura y sabor natural. ¡Pedí ahora y mejorá tu cocina!",Familia Garcia Vidal
,,Cantidad,4 Pata muslo,13000,,,,,
Pata Muslo Rellena de Pollo Libre de Antibióticos (1 porción - 2 porciones),Listo para consumir  > Carnes al Horno,Cantidad,1 porción,5000,"<h3>Pata Muslo Rellena de Pollo Libre de Antibi&oacute;ticos (1 porci&oacute;n - 2 porciones)</h3>
<p>La porci&oacute;n es 1 muslo de pollo deshuesado relleno con jam&oacute;n, zanahoria, morron, cebolla, huevos y aceitunas. Envasado al vac&iacute;o y ultracongelado. Listo para consumir.<br /><strong>Beneficios:&nbsp;Nuestros pollos crecen en libertad y sin antibi&oacute;ticos</strong>, garantizando una carne con textura, color y sabor aut&eacute;nticos que reflejan su crianza en un entorno natural y cuidado. Ideal para una alimentaci&oacute;n saludable y deliciosa.</p>
<h4><em style=""font-weight: 400;""><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></h4>",,,,
,,Cantidad,2 porciones,9000,,,,,
Pizza Especial Estilo Napolitano de Harina Orgánica con Masa Madre (1 pizza - 2 pizzas),Listo para consumir  > Pizzas y Empanadas,Cantidad,1 pizza,12000,"<h3 data-start=""235"" data-end=""297"">Pizza Especial de Masa Madre y Harina Org&aacute;nica</h3>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""299"" data-end=""532"">La pizza pesa 650 grs aprox. Hecha a mano con <strong data-start=""309"" data-end=""365"">masa madre fermentada naturalmente y harina org&aacute;nica</strong>, nuestra pizza Especial combina sabor casero con ingredientes nobles.<br data-start=""432"" data-end=""435"" />Con salsa de tomates, mozzarella, jam&oacute;n cocido, morr&oacute;n rojo, aceitunas y un toque de aceite de oliva virgen extra.</p>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""534"" data-end=""668"">Viene ultracongelada, lista para hornear sin descongelar.<br data-start=""591"" data-end=""594"" /><strong data-start=""594"" data-end=""668"">&iexcl;Sacala del freezer y disfrut&aacute; una pizza de verdad en solo 12 minutos!</strong></p>
<h3 data-start=""675"" data-end=""698"">? &iquest;C&oacute;mo cocinarla?</h3>
<ol style=""font-size: 15px; font-weight: 400;"" data-start=""700"" data-end=""879"">
<li data-start=""700"" data-end=""736"">
<p data-start=""703"" data-end=""736""><strong data-start=""703"" data-end=""726"">Precalent&aacute; el horno</strong>&nbsp;a 270&deg;C</p>
</li>
<li data-start=""737"" data-end=""806"">
<p data-start=""740"" data-end=""806""><strong data-start=""740"" data-end=""767"">Llev&aacute; tu pizza al horno</strong>&nbsp;(sin descongelarla) sobre la rejilla</p>
</li>
<li data-start=""807"" data-end=""879"">
<p data-start=""810"" data-end=""879""><strong data-start=""810"" data-end=""833"">Cocinala 12 minutos</strong>&nbsp;o hasta que los bordes est&eacute;n bien crocantes</p>
</li>
</ol>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""886"" data-end=""1038"">FGV garantiza trazabilidad, procesos naturales y sabor real en cada producto.<br data-start=""967"" data-end=""970"" />? Sin conservantes, sin aditivos, con el sabor que nace del origen.</p>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""886"" data-end=""1038""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","ALIMENTOS AGROECOLOGICOS, pizza, Pizza organica, pizza sana, salud",Pizza Especial de Masa Madre y Harina Orgánica,"Pizza artesanal con masa madre y harina orgánica. Con mozzarella, jamón cocido, aceitunas verdes, morrón rojo y aceite de oliva. Lista para hornear en 12 minutos. Natural, sin conservantes.",Familia Garcia Vidal
,,Cantidad,2 pizzas,23000,,,,,
Pizza Fugazza Estilo Napolitano de Harina Orgánica con Masa Madre (1 pizza - 2 pizzas),Listo para consumir  > Pizzas y Empanadas,Cantidad,1 pizza,12000,"<h3 data-start=""235"" data-end=""297"">Pizza Fugazza de Masa Madre y Harina Org&aacute;nica</h3>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""299"" data-end=""532"">La pizza pesa 620 grs aprox. Hecha a mano con <strong data-start=""309"" data-end=""365"">masa madre fermentada naturalmente y harina org&aacute;nica</strong>, nuestra pizza Fugazza combina sabor casero con ingredientes nobles.<br data-start=""432"" data-end=""435"" />Con salsa de tomates, mozzarella, cebolla y un toque de aceite de oliva virgen extra.</p>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""534"" data-end=""668"">Viene ultracongelada, lista para hornear sin descongelar.<br data-start=""591"" data-end=""594"" /><strong data-start=""594"" data-end=""668"">&iexcl;Sacala del freezer y disfrut&aacute; una pizza de verdad en solo 12 minutos!</strong></p>
<h3 data-start=""675"" data-end=""698"">? &iquest;C&oacute;mo cocinarla?</h3>
<ol style=""font-size: 15px; font-weight: 400;"" data-start=""700"" data-end=""879"">
<li data-start=""700"" data-end=""736"">
<p data-start=""703"" data-end=""736""><strong data-start=""703"" data-end=""726"">Precalent&aacute; el horno</strong>&nbsp;a 270&deg;C</p>
</li>
<li data-start=""737"" data-end=""806"">
<p data-start=""740"" data-end=""806""><strong data-start=""740"" data-end=""767"">Llev&aacute; tu pizza al horno</strong>&nbsp;(sin descongelarla) sobre la rejilla</p>
</li>
<li data-start=""807"" data-end=""879"">
<p data-start=""810"" data-end=""879""><strong data-start=""810"" data-end=""833"">Cocinala 12 minutos</strong>&nbsp;o hasta que los bordes est&eacute;n bien crocantes</p>
</li>
</ol>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""886"" data-end=""1038"">FGV garantiza trazabilidad, procesos naturales y sabor real en cada producto.<br data-start=""967"" data-end=""970"" />? Sin conservantes, sin aditivos, con el sabor que nace del origen.</p>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""886"" data-end=""1038""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","ALIMENTOS AGROECOLOGICOS, Harina Organica, Pizza organica, pizza sana, salud",Familia Garcia Vidal,Pizza Fugazza de Masa Madre y Harina Orgánica,
,,Cantidad,2 pizzas,23000,,,,,
Pizza Margarita Estilo Napolitano de Harina Orgánica con Masa Madre (1 pizza - 2 pizzas),Listo para consumir  > Pizzas y Empanadas,Cantidad,1 pizza,12000,"<h3 data-start=""235"" data-end=""297"">Pizza Margarita de Masa Madre y Harina Org&aacute;nica</h3>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""299"" data-end=""532"">La pizza pesa 600 grs aprox. Hecha a mano con <strong data-start=""309"" data-end=""365"">masa madre fermentada naturalmente y harina org&aacute;nica</strong>, nuestra pizza Margarita combina sabor casero con ingredientes nobles.<br data-start=""432"" data-end=""435"" />Con salsa de tomates, mozzarella, tomates secos, albahaca y un toque de aceite de oliva virgen extra.</p>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""534"" data-end=""668"">Viene ultracongelada, lista para hornear sin descongelar.<br data-start=""591"" data-end=""594"" /><strong data-start=""594"" data-end=""668"">&iexcl;Sacala del freezer y disfrut&aacute; una pizza de verdad en solo 12 minutos!</strong></p>
<h3 data-start=""675"" data-end=""698"">? &iquest;C&oacute;mo cocinarla?</h3>
<ol style=""font-size: 15px; font-weight: 400;"" data-start=""700"" data-end=""879"">
<li data-start=""700"" data-end=""736"">
<p data-start=""703"" data-end=""736""><strong data-start=""703"" data-end=""726"">Precalent&aacute; el horno</strong>&nbsp;a 270&deg;C</p>
</li>
<li data-start=""737"" data-end=""806"">
<p data-start=""740"" data-end=""806""><strong data-start=""740"" data-end=""767"">Llev&aacute; tu pizza al horno</strong>&nbsp;(sin descongelarla) sobre la rejilla</p>
</li>
<li data-start=""807"" data-end=""879"">
<p data-start=""810"" data-end=""879""><strong data-start=""810"" data-end=""833"">Cocinala 12 minutos</strong>&nbsp;o hasta que los bordes est&eacute;n bien crocantes</p>
</li>
</ol>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""886"" data-end=""1038"">FGV garantiza trazabilidad, procesos naturales y sabor real en cada producto.<br data-start=""967"" data-end=""970"" />? Sin conservantes, sin aditivos, con el sabor que nace del origen.</p>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""886"" data-end=""1038"">&nbsp;</p>
<p style=""font-size: 15px; font-weight: 400;"" data-start=""886"" data-end=""1038""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimentacion sana, ALIMENTOS AGROECOLOGICOS, Harina Organica, Pizza organica, pizza sana, salud",Pizza Marga de Masa Madre y Harina Orgánica,"Pizza artesanal con masa madre y harina orgánica. Con mozzarella, salsa de tomate, albahaca, tomates secos y aceite de oliva. 490g. Lista para hornear en 12 minutos. Natural, sin conservantes.",Familia Garcia Vidal
,,Cantidad,2 pizzas,23000,,,,,
Pizza Muzzarella Estilo Napolitano de Harina Orgánica con Masa Madre (1 pizza - 2 pizzas),Listo para consumir  > Pizzas y Empanadas,Cantidad,1 pizza,12000,"<h3 data-start=""235"" data-end=""297"">Pizza Muzzarella de Masa Madre y Harina Org&aacute;nica&nbsp;</h3>
<p data-start=""299"" data-end=""532"">La pizza pesa 550 grs aprox. Hecha a mano con <strong data-start=""309"" data-end=""365"">masa madre fermentada naturalmente y harina org&aacute;nica</strong>, nuestra pizza Muzza combina sabor casero con ingredientes nobles.<br data-start=""432"" data-end=""435"" />Con salsa de tomates, mozzarella, reggianito, or&eacute;gano y un toque de aceite de oliva virgen extra.</p>
<p data-start=""534"" data-end=""668"">Viene ultracongelada, lista para hornear sin descongelar.<br data-start=""591"" data-end=""594"" /><strong data-start=""594"" data-end=""668"">&iexcl;Sacala del freezer y disfrut&aacute; una pizza de verdad en solo 12 minutos!</strong></p>
<h3 data-start=""675"" data-end=""698"">? &iquest;C&oacute;mo cocinarla?</h3>
<ol data-start=""700"" data-end=""879"">
<li data-start=""700"" data-end=""736"">
<p data-start=""703"" data-end=""736""><strong data-start=""703"" data-end=""726"">Precalent&aacute; el horno</strong> a 270&deg;C</p>
</li>
<li data-start=""737"" data-end=""806"">
<p data-start=""740"" data-end=""806""><strong data-start=""740"" data-end=""767"">Llev&aacute; tu pizza al horno</strong> (sin descongelarla) sobre la rejilla</p>
</li>
<li data-start=""807"" data-end=""879"">
<p data-start=""810"" data-end=""879""><strong data-start=""810"" data-end=""833"">Cocinala 12 minutos</strong> o hasta que los bordes est&eacute;n bien crocantes</p>
</li>
</ol>
<p data-start=""886"" data-end=""1038"">FGV garantiza trazabilidad, procesos naturales y sabor real en cada producto.<br data-start=""967"" data-end=""970"" />? Sin conservantes, sin aditivos, con el sabor que nace del origen.</p>
<p data-start=""886"" data-end=""1038"">&nbsp;</p>
<p data-start=""886"" data-end=""1038""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimentacion sana, Harina Organica, pizza, Pizza organica, pizza sana, salud",Pizza Muzza de Masa Madre y Harina Orgánica,"Pizza artesanal con masa madre y harina orgánica. Con mozzarella, reggianito y aceite de oliva. Lista para hornear en 12 minutos. Natural, sin conservantes.",Familia Garcia Vidal
,,Cantidad,2 pizzas,23000,,,,,
Pollo Grande Entero Libre de Antibióticos - No contiene menudos (1 pollo - 2 pollos),"Granja > Pollos\, Huevos de Campo y Menudos ",Cantidad,1 Pollo,18000,"<h3 class="""" data-start=""200"" data-end=""259"">Pollo Grande Entero Libre de Antibi&oacute;ticos - No contiene menudos (1 pollo - 2 pollos)</h3>
<p class="""" data-start=""261"" data-end=""526"">Peso aprox entre 2,6 y 3 kgs. Todos nuestros pollos agroecol&oacute;gicos son criados sin antibi&oacute;ticos, con probioticos y pr&aacute;cticas de bienestar animal que se reflejan en el sabor, color y textura de su carne.</p>
<p class="""" data-start=""528"" data-end=""754"">Vienen crudos, ultracongelados y envasados al vac&iacute;o, listos para cocinar como m&aacute;s te guste.<br data-start=""619"" data-end=""622"" /><strong data-start=""622"" data-end=""754"">En FGV cuidamos cada paso, desde el campo hasta tu cocina, para que disfrutes un producto aut&eacute;ntico, saludable y lleno de sabor.</strong></p>
<p class="""" data-start=""528"" data-end=""754""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimentacion sana, alimento del dia, organico, pollo crudo, pollo de campo, salud",Pollo Grande Agroecológico Ultracongelado sin Antibióticos,"Pollo Grande agroecológico, cría libre y sin antibióticos. Ultracongelado y envasado al vacío para máxima frescura. ¡Compra salud y sabor hoy!",Familia Garcia Vidal
,,Cantidad,2 Pollos,35000,,,,,
Pollo Mediano Entero Libre de Antibióticos - No contiene menudos (1 pollo - 2 pollos),"Granja > Pollos\, Huevos de Campo y Menudos ",Cantidad,1 Pollo,15000,"<h3 class="""" data-start=""200"" data-end=""259"">Pollo Mediano Entero Libre de Antibi&oacute;ticos - No contiene menudos (1 pollo - 2 pollos)</h3>
<p class="""" data-start=""261"" data-end=""526"">Peso aprox entre 2,3 y 2,5 kgs. Todos nuestros pollos agroecol&oacute;gicos son criados sin antibi&oacute;ticos, con probioticos y pr&aacute;cticas de bienestar animal que se reflejan en el sabor, color y textura de su carne.</p>
<p class="""" data-start=""528"" data-end=""754"">Vienen crudos, ultracongelados y envasados al vac&iacute;o, listos para cocinar como m&aacute;s te guste.<br data-start=""619"" data-end=""622"" /><strong data-start=""622"" data-end=""754"">En FGV cuidamos cada paso, desde el campo hasta tu cocina, para que disfrutes un producto aut&eacute;ntico, saludable y lleno de sabor.</strong></p>
<p class="""" data-start=""528"" data-end=""754""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","alimentacion sana, alimento del dia, organico, pollo crudo, pollo de campo, salud",,,Familia Garcia Vidal
,,Cantidad,2 Pollos,29000,,,,,
Poroto Alubia (500grs - 1.000 grs),Granja > Legumbres secas,Gramos,500 grs,3500,"<p>Disfrut&aacute; de nuestros<strong> porotos de alubia</strong>, una legumbre completa y natural, ideal para sumar a tu alimentaci&oacute;n diaria.</p>
<p>Son <strong data-start=""388"" data-end=""434"">ricos en fibra, hierro, magnesio y potasio</strong>, lo que los convierte en una excelente opci&oacute;n para cuidar tu salud sin resignar sabor.</p>
<p>Una alternativa vegetal, sabrosa y vers&aacute;til para preparar <strong data-start=""581"" data-end=""627"">ensaladas, guisos, sopas, salsas y mucho m&aacute;s</strong>.</p>
<p>Vienen envasados en porciones de 500gr.</p>
<p><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>",,,,
,,Gramos,1.000 grs,6500,,,,,
Poroto Colorado (500grs - 1.000 grs),Granja > Legumbres secas,Gramos,500 grs,3500,"<p style=""text-align: justify;"">Nuestro<strong> porotos colorados</strong> son la fuente de prote&iacute;na vegetal y &aacute;cido f&oacute;lico, rico en fibra, con un alto contenido de</p>
<p style=""text-align: justify;"">antioxidantes.</p>
<p style=""text-align: justify;"">Una opci&oacute;n <strong>vers&aacute;til</strong> y<strong> saludable</strong> para acompa&ntilde;ar ensaladas, guisos, tacos, hummos y sopas.</p>
<p style=""text-align: justify;"">Eleg&iacute; una opci&oacute;n rica, saludable y llena de sabor.<br /><br /></p>
<p style=""text-align: justify;"">Vienen envasados en porciones de 500gr.</p>",,,,
,,Gramos,1.000 grs,6500,,,,,
PROMO 5 X 4 ! Hamburguesas Caseras 100% Novillos Alimentados a Pasto 120grs,Promociones Exclusivas !  > Hamburguesas,,,36000,"<h3 data-start=""225"" data-end=""295"">PROMO 5 X 4 ! ? <br />Hamburguesas Caseras 100% Carne de Novillo Alimentado a Pasto <strong data-start=""296"" data-end=""337"">120 grs<br /></strong><strong data-start=""296"" data-end=""337"">5 paquetes de 4 unidades de 120 grs cada una&nbsp;</strong></h3>
<p data-start=""341"" data-end=""568"">Disfrut&aacute; nuestras <strong data-start=""359"" data-end=""398"">hamburguesas de carne de Novillos Alimentados a pasto</strong>, elaboradas solo con<strong data-start=""420"" data-end=""456"">&nbsp;sal y pimienta</strong>.<br data-start=""457"" data-end=""460"" />Crudas, ultracongeladas para conservar <strong data-start=""520"" data-end=""565"">toda su frescura, sabor y textura natural</strong>.</p>
<p>&nbsp;</p>
<p data-start=""570"" data-end=""779"">A diferencia de las hamburguesas industriales, <strong data-start=""617"" data-end=""714"">no contienen antioxidantes, colorantes, conservantes, estabilizantes ni resaltadores de sabor</strong>.<br data-start=""715"" data-end=""718"" />Solo ingredientes reales, sin aditivos ni qu&iacute;micos ocultos.</p>
<p>&nbsp;</p>
<p data-start=""781"" data-end=""960""><span data-start=""797"" data-end=""829"">N</span><strong data-start=""797"" data-end=""829"">ovillos criados en libertad</strong>, alimentados con pasturas frescas y agua limpia, estas hamburguesas ofrecen un sabor aut&eacute;ntico y un perfil nutricional superior:</p>
<p>&nbsp;</p>
<ul data-start=""961"" data-end=""1195"">
<li data-start=""961"" data-end=""1015"">
<p data-start=""963"" data-end=""1015"">? <strong data-start=""966"" data-end=""1013"">Mejor digesti&oacute;n y asimilaci&oacute;n de nutrientes</strong></p>
</li>
<li data-start=""1016"" data-end=""1076"">
<p data-start=""1018"" data-end=""1076"">? <strong data-start=""1021"" data-end=""1074"">Mayor aporte de omega-3 y antioxidantes naturales</strong></p>
</li>
<li data-start=""1077"" data-end=""1137"">
<p data-start=""1079"" data-end=""1137"">? <strong data-start=""1082"" data-end=""1135"">Menor carga inflamatoria y mejor equilibrio graso</strong></p>
</li>
<li data-start=""1138"" data-end=""1195"">
<p data-start=""1140"" data-end=""1195"">? <strong data-start=""1143"" data-end=""1193"">Sabor intenso, sin exceso de sodio ni aditivos</strong></p>
</li>
</ul>
<p data-start=""1197"" data-end=""1311"">Una opci&oacute;n <strong data-start=""1208"" data-end=""1247"">m&aacute;s saludable, casera y sustentable</strong>, hecha con respeto por el animal, el ambiente y tu bienestar.</p>
<p data-start=""1313"" data-end=""1434""><em><strong>ALIMENTOS AGROECOLOGICOS, CASEROS Y SALUDABLES</strong></em></p>","carne alimentada a pasto, carne natural, hamburguesa de carne, hamburguesa de novillo, hamburguesa gourmet, producto agroecologico, sin aditivos, sin conservantes",,,
